Model,MAE,RMSE,R2,MAPE
Old Prophet (baseline),11.228,14.787,0.6587,55.41
Prophet only (live),12.279115275944507,16.060581549327953,0.5969949478556803,58.781416829254596
LightGBM only,11.955898829176396,15.737712655669455,0.6130354509550877,57.414645677701635
Ensemble (new system),11.955898829176396,15.737712655669455,0.6130354509550877,57.414645677701635
