Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,316,0,220.0,237.30072007278463,29.16350000000012,534.9086670000033,304.90822784810126,5.3375649178684155,0.0,220,250,280,300,370,420,450,470,530,530,530
GET,/compute[burst],548,0,190.0,202.63616232664228,19.12024999999984,532.4332500000039,304.84124087591243,9.256283465164213,0.0,190,220,240,260,320,420,460,480,530,530,530
GET,/data,996,0,210.0,224.49372401104438,16.075792000000533,540.8710419999991,292.0140562248996,16.823464108218168,0.0,210,240,260,280,360,420,450,480,540,540,540
GET,/data[burst],2274,0,180.0,188.7831743249777,9.791875000000339,546.3917910000049,291.6926121372032,38.41019817478727,0.0,180,210,230,250,300,370,440,460,530,550,550
GET,/data[cold],178,0,220.0,223.55475656741564,13.071124999999961,465.13166600000136,291.9269662921348,3.0066030233562593,0.0,220,250,270,300,350,400,440,460,470,470,470
GET,/data[hot],1549,0,210.0,224.41228116914152,11.3788330000002,540.0744590000031,292.16591349257584,26.164202714487896,0.0,210,240,260,290,360,410,450,480,530,540,540
GET,/health,155,0,18,23.364868851612982,3.0872080000001745,174.8548329999977,62.94193548387097,2.6181093742708996,0.0,18,22,26,29,47,63,89,160,170,170,170
GET,/prediction,158,0,19,25.798773702531605,3.666707999997243,188.4480410000009,196.0,2.6687824589342077,0.0,19,25,30,33,46,60,120,180,190,190,190
,Aggregated,6174,0,190.0,199.8745486143507,3.0872080000001745,546.3917910000049,285.5217039196631,104.28520823708733,0.0,190,220,250,260,330,400,450,470,530,550,550
