Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,476,0,6000.0,5929.567839544121,178.15412500000028,13994.6355,293.15546218487395,8.037781336922212,0.0,6000,6400,6700,6800,7700,9800,11000,11000,14000,14000,14000
GET,/compute[burst],180,0,5400.0,5337.17607128333,115.21050000000011,13346.727125000001,293.4888888888889,3.039497144214282,0.0,5400,6100,6600,6800,7900,9800,11000,12000,13000,13000,13000
GET,/data,1409,3,6200.0,6099.591552215053,116.431167,16042.871374999997,289.86870120652947,23.792508201099576,0.0506582857369047,6200,6700,6900,7100,8700,10000,11000,12000,14000,16000,16000
GET,/data[burst],750,0,5600.0,5622.395656173341,128.5783749999998,14053.950707999998,289.892,12.664571434226175,0.0,5700,6400,6800,7000,7900,10000,11000,12000,14000,14000,14000
GET,/data[cold],128,0,5800.0,5450.3825315859385,136.16600000000022,13930.918541,289.2109375,2.1614201914412674,0.0,5800,6400,6700,6700,7500,9000,11000,11000,14000,14000,14000
GET,/data[hot],1194,1,5800.0,5751.936722241197,132.56016699999984,13946.258249999999,289.8391959798995,20.16199772328807,0.0168860952456349,5800,6500,6700,6900,7700,9800,11000,11000,14000,14000,14000
GET,/health,227,0,70,163.27927640528628,7.1870410000016705,1206.6960419999973,63.86784140969163,3.8331436207591225,0.0,70,110,140,170,630,710,900,980,1200,1200,1200
GET,/prediction,249,0,69,173.67371769076289,6.16975000000064,1325.091583,196.0,4.204637716163091,0.0,69,100,130,170,630,910,1200,1200,1300,1300,1300
,Aggregated,4613,4,5700.0,5254.7274627147035,6.16975000000064,16042.871374999997,274.1389551268155,77.8955573681138,0.0675443809825396,5700,6400,6700,6900,7700,9800,11000,11000,14000,16000,16000
