Model,MAE,RMSE,R2,MAPE
"New Prophet (offline, full)",11.237135350316157,14.788154545304966,0.6586031604812297,55.68866241225717
LightGBM only (offline),11.466534424889218,15.06476186554788,0.6457122981794249,57.84191053951414
Ensemble — offline,11.28721800413098,14.84391812259158,0.6560236090480662,56.73491004117919
